category,zone,subzone,choice,regex,notes,verified by,quantity,unique_type,unique_text,code
The Woods,(combat),normal,,defeated\s+(?:hot|cold|stench|spooky|sleaze)\s+(?:werewolf|bugbear),,rlbond86,,,,
The Woods,(combat),boss,,defeated\s+(?:The Great Wolf of the Air|Falls-From-Sky),,rlbond86,,,,
The Woods,(unlock),Attic,,unlocked the attic of the cabin,,rlbond86,,,,
The Woods,(unlock),Fire Tower,,unlocked the fire watchtower,,rlbond86,,,,
The Woods,Cabin,Kitchen,Raid the spice rack,acquired some dread tarragon,dread tarragon,Aquacadet08,,,,tarragon
The Woods,Cabin,Kitchen,Screw around with the floor mill,made some bone flour,mus only; req old dry bone,Sairindhri,,,,bn-flour
The Woods,Cabin,Kitchen,Clean out the disposal,made the forest less stinky,-stench,,,,,-stench
The Woods,Cabin,Basement,Look through the newspapers,recycled some newspapers,FKs,Xande1,10,fk,FK-1,FKs
The Woods,Cabin,Basement,Read diary,read an old diary,100 turns Bored Stiff,Aquacadet08,,,,effect
The Woods,Cabin,Basement,Check out the lockbox,got a Dreadsylvanian auditor's badge,req replica key,,1,unique,badge,badge
The Woods,Cabin,Basement,Stick a wax banana in the lock,made an impression of a complicated lock,req wax banana,PeKaJe,,,,wax-lock
The Woods,Cabin,Attic,Turn off the music box,made the forest less spooky,-spooky; item for AT,,1,unique,music box,-spooky
The Woods,Cabin,Attic,Check out the wolfsbane,drove some werewolves out of the forest,-werewolves,,,,,-wwolf
The Woods,Cabin,Attic,Poke around in the rafters,drove some vampires out of the castle,-vampires,rlbond86,,,,-vampire
The Woods,Cabin,Attic,Look through the photo albums,flipped through a photo album,+moxie,,,,,+moxie
The Woods,Tree,Top,Stomp on the fruit branch,knocked some fruit loose,req muscle; drops blood kiwi,rlbond86,,,,stomped
The Woods,Tree,Top,Kick the nest,made the forest less sleazy,req muscle; -sleaze,,,,,nest
The Woods,Tree,Top,Grab the shiny thing,acquired a chunk of moon-amber,req muscle; moon amber,Sairindhri,1,unique,moon-amber,amber
The Woods,Tree,Fire Tower,Wind up the siren,drove some ghosts out of the village,-ghosts,,,,,-ghost
The Woods,Tree,Fire Tower,Raid the footlocker,rifled through a footlocker,FKs,rlbond86,10,fk,FK-2,FKs
The Woods,Tree,Fire Tower,Lift the weights,lifted some weights,+muscle,rlbond86,,,,+muscle
The Woods,Tree,Base,Stand near the base looking upward,(?:got a blood kiwi|wasted some fruit),coordinate w/ mus class,rlbond86,1,unique,kiwi,kiwi
The Woods,Tree,Base,Stand near the base looking downward,got a cool seed pod,seed pod,skinz3,,,,seed-pod
The Woods,Tree,Base,Investigate the hole,###NO MESSAGE###,req folder holder; NO MESSAGE IN LOG :(,lordhyperion,,,,folder
The Woods,Burrows,Heat,Pull the cork,made the forest less hot,-hot,rlbond86,,,,-hot
The Woods,Burrows,Heat,Play in the fire,got intimate with some hot coals,100 turns Dragged Through the Coals,rlbond86,,,,effect
The Woods,Burrows,Heat,Melt down an old ball and chain,made a cool iron ingot,"req old ball and chain, gives cool iron ingot",Aquacadet08,,,,ingot
The Woods,Burrows,Cold,Read the heart a story,made the forest less cold,-cold,,,,,-cold
The Woods,Burrows,Cold,Listen to the heart,listened to the forest's heart,+myst,rlbond86,,,,+myst
The Woods,Burrows,Cold,Drink some of the green stuff,drank some nutritious forest goo,100 turns Nature's Bounty,Xande1,,,,effect
The Woods,Burrows,Smelly,Smash the eggs,drove some bugbears out of the forest,-bugbears,rlbond86,,,,-bugbear
The Woods,Burrows,Smelly,Dig through the garbage,found and sold a rare baseball card,FKs,PeKaJe,10,fk,FK-3,FKs
The Village,(combat),normal,,defeated\s+(?:hot|cold|stench|spooky|sleaze)\s+(?:ghost|zombie),,rlbond86,,,,
The Village,(combat),boss,,defeated\s+(?:Mayor Ghost|the Zombie Homeowners' Association),,rlbond86,,,,
The Village,(unlock),Suite,,unlocked the master suite,,rlbond86,,,,
The Village,(unlock),School,,unlocked the schoolhouse,,rlbond86,,,,
The Village,Square,School,Clean the erasers,drove some ghosts out of the village,-ghosts,rlbond86,,,,-ghost
The Village,Square,School,Rummage through the teacher's desk,collected a ghost pencil,ghost pencil,rlbond86,10,pencil,pencil,pencil
The Village,Square,School,Read the carvings on the students' desks,read some naughty carvings,+myst,,,,,+myst
The Village,Square,Blacksmith,Stoke the furnace,made the village less cold,-cold,,,,,-cold
The Village,Square,Blacksmith,Dig through the till,looted the blacksmith's till,FKs,PeKaJe,10,fk,FK-4,FKs
The Village,Square,Blacksmith,Approach the anvil,made (?:a|some)? ?cool(?:ing)? iron (?:helmet|greaves|breastplate),"req hothammer, warm fur, cool iron ingot",,,,,anvil
The Village,Square,Gallows,Paint the noose pink,made the village less spooky,-spooky,,,,,-spooky
The Village,Square,Gallows,Stand on the trap door,was hung by a clanmate,wait,skinz3,1,unique,gallows item,hanged
The Village,Square,Gallows,Pull the lever,hung a clanmate,pull lever,,,,,lever
The Village,Skid Row,Sewers,Unclog the grate,made the village less stinky,-stench,rlbond86,,,,-stench
The Village,Skid Row,Sewers,Slosh in the muck,swam in a sewer,100 turns sewer drenched,rlbond86,,,,effect
The Village,Skid Row,Tenements,Drive out the rats,drove some skeletons out of the castle,-skeletons,rlbond86,,,,-skel.
The Village,Skid Row,Tenements,Paint over the graffiti,made the village less sleazy,-sleaze,rlbond86,,,,-sleaze
The Village,Skid Row,Tenements,Move bricks around,moved some bricks around,+muscle,rlbond86,,,,+muscle
The Village,Skid Row,Shack,Rummage through the shelves,looted the tinker's shack,mox class; FKs,PeKaJe,10,fk,FK-5,FKs
The Village,Skid Row,Shack,Make a key using the wax lock impression,made a complicated key,mox class; replica key,PeKaJe,,,,repl-key
The Village,Skid Row,Shack,Polish the moon-amber,polished some moon-amber,mox class; req moon amber,,,,,polish
The Village,Skid Row,Shack,Assemble a clockwork bird,made a clockwork bird,mox class; clockwork bird,Darzil,,,,cwk-bird
The Village,Skid Row,Shack,Look through the boxes,got some old fuse,mox class; get old fuse,,,,,old-fuse
The Village,Estate,Plot,Close the gates,drove some zombies out of the village,-zombies,,,,,-zombie
The Village,Estate,Plot,Rob some graves,robbed some graves,FKs,PeKaJe,10,fk,FK-6,FKs
The Village,Estate,Plot,Read some tombstones,read some lurid epitaphs,100 turns Fifty Ways to Bereave...,rlbond86,,,,effect
The Village,Estate,Quarters,Turn off the ovens,made the village less hot,-hot,,,,,-hot
The Village,Estate,Quarters,Make a sheperd's pie,made a shepherd's pie,req myst; make sheperd's pie,MajorInfinity,,,,shep-pie
The Village,Estate,Quarters,Look through the cabinets,raided some naughty cabinets,+moxie,,,,,+moxie
The Village,Estate,Suite,Blow the whistle,drove some werewolves out of the forest,-werewolves,,,,,-wwolf
The Village,Estate,Suite,Check the nightstand,got a bottle of eau de mort,eau de mort,PeKaJe,,,,eau-mort
The Village,Estate,Suite,Mess with the loom,made a ghost shawl,req 10 ghost threads,,,,,loom
The Castle,(combat),normal,,defeated\s+(?:hot|cold|stench|spooky|sleaze)\s+(?:skeleton|vampire),,rlbond86,,,,
The Castle,(combat),boss,,defeated\s+(?:Count Drunkula|The Unkillable Skeleton),,rlbond86,,,,
The Castle,(unlock),Lab,,unlocked the lab,,rlbond86,,,,
The Castle,(unlock),Ballroom,,unlocked the ballroom,,rlbond86,,,,
The Castle,Tower,Lab,Turn on the lamp,drove some bugbears out of the forest,-bugbears,,,,,-bugbear
The Castle,Tower,Lab,Examine the brains in jars,drove some zombies out of the village,-zombies,,,,,-zombie
The Castle,Tower,Lab,Approach The Machine (gain skill),###NO MESSAGE###,machine to make skills,,,,,skill
The Castle,Tower,Lab,Approach The Machine (assist),###NO MESSAGE###,,,,,,assist
The Castle,Tower,Lab,Use the still,made a blood kiwitini,mox class; use still w/ kiwi+eau de mort,PeKaJe,,,,still
The Castle,Tower,Books,"Read ""Bone-Dissolving Incantations: A Treatise""",drove some skeletons out of the castle,myst class; -skeletons,rlbond86,,,,-skel.
The Castle,Tower,Books,"Read ""Amazing Ancient Mystical Secrets""",read some ancient secrets,myst class; +myst,,,,,+myst
The Castle,Tower,Books,"Read ""Enchanted Jewelry, Then and Now""",learned to make a moon-amber necklace,myst class; moon-amber necklace recipe,Skinz3,,,,recipe
The Castle,Tower,Bedroom,Shut the parrot up,made the castle less sleazy,-sleaze,rlbond86,,,,-sleaze
The Castle,Tower,Bedroom,Check the dresser,raided a dresser,FKs,Aquacadet08,10,fk,FK-7,FKs
The Castle,Tower,Bedroom,Turn on the magic fingers,got magically fingered,100 turns Magically Fingered,Xande1,,,,effect
The Castle,Hall,Ballroom,Play the organ,drove some vampires out of the castle,-vampires,rlbond86,,,,-vampire
The Castle,Hall,Ballroom,Trip the light fantastic,twirled on the dance floor,+moxie,,,,,+moxie
The Castle,Hall,Kitchen,Turn down the freezer,made the castle less cold,-cold,rlbond86,,,,-cold
The Castle,Hall,Kitchen,Hang out in the freezer,frolicked in a freezer,100 turns staying frosty,Aquacadet08,,,,effect
The Castle,Hall,Dining Room,Grab the roast,got some roast beast,roast,skinz3,1,unique,roast,roast
The Castle,Hall,Dining Room,Clear the dishes,made the castle less stinky,-stench,,,,,-stench
The Castle,Hall,Dining Room,Levitate up to the rafters,got a wax banana,banana,skinz3,1,unique,banana,banana
The Castle,Dungeon,Cell Block,Flush the toilet,made the castle less spooky,-spooky,,,,,-spooky
The Castle,Dungeon,Cell Block,Do some pushups,did a whole bunch of pushups,+muscle,rlbond86,,,,+muscle
The Castle,Dungeon,Cell Block,Take a nap,took a nap on a prison cot,+MP,,,,,+MP
The Castle,Dungeon,Boiler Room,Let off some steam,made the castle less hot,-hot,,,,,-hot
The Castle,Dungeon,Boiler Room,Check in the incinerator,sifted through some ashes,FKs,Xande1,10,fk,FK-8,FKs
The Castle,Dungeon,Boiler Room,Relax in the furnace,relaxed in a furnace,+substats,PeKaJe,,,,+substats
The Castle,Dungeon,Guardroom,Break off some choice bits,got some stinking agaric,stinking agaricus,rlbond86,1,unique,agaricus,agaricus
The Castle,Dungeon,Guardroom,Roll around in it,rolled around in some mushrooms,100 turns Spore Wreathed,rlbond86,,,,effect